Feature,Importance
SCC_div_sum_of_Gender_and_family_history_with_overweight,0.00025801049027158183
TUE_floor_round+Automobile,0.0002535939566364864
FCVC_ceil_round,0.00024925202014811407
TUE_floor_round+NCP_ceil_round,0.0002492309799272463
TUE_round,0.00024487756695476423
CH2O_ceil_round+CALC_map,0.00023614013705217652
FCVC_floor_round+Gender_map,0.00023610953309454838
MTRANS_plus_SCC_minus_Height_2dec,0.0002317733348482254
Gender_plus_CALC_minus_FAVC,0.0002274065326442953
Std_of_Height_2dec_family_history_with_overweight_FAVC,0.00022735106297109065
CH2O_ceil_round+FCVC_round,0.0002230492941770934
FAF_ceil_round+TUE_round,0.00020988576690266102
FAF_ceil_round,0.00020558208536132218
CAEC_plus_FAVC_minus_Height_2dec,0.00020556104514045433
Height_2dec_x_CALC,0.00020551896469871324
MTRANS_div_prod_of_Height_2dec_and_Gender,0.00020549792447784203
Weight_2dec_div_prod_of_CALC_and_family_history_with_overweight,0.0002011272967791999
Std_of_Height_2dec_Gender_CAEC,0.00020109095457951473
CH2O_floor_round,0.00019239177962395712
TUE_floor_round+Gender_map,0.00018365817521607484
TUE_ceil_round+Automobile,0.0001836333095004971
Height_2dec_x_Gender_x_family_history_with_overweight,0.00017927415828596026
CH2O_round+Gender_map,0.00017057115783569835
NCP_ceil_round+CAEC_map,0.00017054437937276786
NCP_ceil_round+Gender_map,0.0001661775771688312
FCVC_round+Public_Transportation,0.00016182416419634584
TUE_round+family_history_with_overweight_map,0.0001617954729860671
Height_2dec_plus_Gender_minus_CAEC,0.00016178399650197185
FCVC_ceil_round+CAEC_map,0.00016173809056552746
Height_2dec_plus_Gender_minus_FAVC,0.0001574458855082994
FAF_floor_round+CH2O_ceil_round,0.0001530580430834849
Gender_x_family_history_with_overweight,0.00015303891560996874
NCP_ceil_round,0.00014429192197062181
CALC_div_prod_of_Height_2dec_and_Gender,0.00013994615998754625
Height_2dec_plus_CAEC_minus_family_history_with_overweight,0.00013991938152462357
family_history_with_overweight_plus_FAVC_minus_CALC,0.00013117621337996877
Height_2dec_plus_CAEC_plus_family_history_with_overweight,0.00013116282414851301
TUE_floor_round+CH2O_round,0.00013116091140115692
NCP_floor_round+family_history_with_overweight_map,0.00012684766612305887
FCVC_round+family_history_with_overweight_map,0.00012681514941808802
CALC_map+FAVC_map,0.00012680367293396722
FCVC_ceil_round+TUE_floor_round,0.00012245217270884565
CAEC_plus_family_history_with_overweight_minus_CALC,0.00012245025996149628
Height_2dec_plus_CAEC_minus_CALC,0.00011806241753668396
CH2O_floor_round+Gender_map,0.00011805859204197075
Height_2dec_plus_CALC_minus_FAVC,0.00011805094105256986
CALC_map+Gender_map,0.00011367457511186397
TUE_floor_round+CALC_map,0.00010931924939202808
CH2O_floor_round+CALC_map,0.00010495435993544298
Std_CAEC_family_history_with_overweight,0.00010495435993542635
FCVC_round+TUE_round,0.00010494288345133329
Height_2dec_x_Gender_x_CALC,0.00010063346366793185
CH2O_ceil_round+Public_Transportation,0.00010058564498414911
Height_2dec_plus_MTRANS_plus_FAVC,0.00010057034300533507
SCC_div_sum_of_Height_2dec_and_CAEC,9.624753399047227e-05
CAEC_div_prod_of_Height_2dec_and_Gender,9.622266827490457e-05
SMOKE_x_SCC,9.619588981198523e-05
FAF_round,9.185012782890742e-05
Std_MTRANS_SMOKE,8.747184914085437e-05
Gender_plus_FAVC_minus_MTRANS,8.309739594750676e-05
SCC_div_sum_of_Height_2dec_and_family_history_with_overweight,8.307635572663119e-05
FAF_floor_round,8.3066791989872e-05
Height_2dec_plus_CALC_minus_CAEC,7.872868099620956e-05
CALC_plus_CAEC_minus_Height_2dec,7.872868099620842e-05
Gender_plus_family_history_with_overweight_minus_CAEC,7.870572802797681e-05
SMOKE_map,7.870381528063742e-05
MTRANS_div_sum_of_Gender_and_family_history_with_overweight,7.433701307669072e-05
TUE_ceil_round+CALC_map,7.432362384521942e-05
FAF_floor_round+NCP_ceil_round,7.431788560316671e-05
FAF_ceil_round+CALC_map,6.992047944159863e-05
CAEC_plus_family_history_with_overweight_minus_Gender,6.561105965821822e-05
TUE_ceil_round+Gender_map,6.56072341635028e-05
SCC_div_sum_of_family_history_with_overweight_and_SMOKE,6.121556624398839e-05
CAEC_div_prod_of_CALC_and_family_history_with_overweight,6.121365349663343e-05
TUE_ceil_round+FAF_floor_round,5.250300205696611e-05
Gender_minus_FAVC,5.247048535198196e-05
CAEC_plus_FAVC_minus_CALC,5.2466659857276494e-05
FAF_floor_round+Automobile,5.2462834362586604e-05
FAVC_div_sum_of_Gender_and_family_history_with_overweight,4.810750864275293e-05
Height_2dec_x_FAVC,4.376174665967291e-05
FCVC_round+NCP_ceil_round,4.375027017556762e-05
MTRANS_div_sum_of_Gender_and_CAEC,4.374453193350392e-05
CAEC_div_sum_of_MTRANS_and_family_history_with_overweight,4.372540445999329e-05
Height_2dec_x_CAEC,3.9352864013993955e-05
MTRANS_plus_FAVC_minus_CALC,3.9352864013992844e-05
family_history_with_overweight_div_prod_of_CALC_and_CAEC,3.9352864013982856e-05
Height_2dec_plus_CAEC_plus_MTRANS,3.499180005210545e-05
Gender_minus_CAEC,3.498032356799463e-05
CH2O_floor_round+Automobile,3.0646038069028796e-05
FAVC_div_sum_of_MTRANS_and_family_history_with_overweight,3.0607783121996416e-05
CALC_map,3.06077831219953e-05
Height_2dec_x_Gender,2.6252457402159418e-05
CALC_plus_SCC_minus_SMOKE,2.6242893665398007e-05
Height_2dec_plus_Gender_plus_CAEC,2.6233329928645477e-05
Gender_plus_CALC_plus_FAVC,2.6229504433938893e-05
CH2O_ceil_round+TUE_round,2.622567893922569e-05
CAEC_map,2.6216115202488673e-05
NCP_ceil_round+TUE_round,2.1883742450863332e-05
CH2O_floor_round+FCVC_round,2.1876091461462416e-05
MTRANS_x_FAVC,2.1862702229998866e-05
CALC_minus_family_history_with_overweight,2.1862702229996644e-05
Gender_map,2.1862702229991094e-05
FCVC_floor_round,2.1851225745886934e-05
CALC_plus_CAEC_minus_family_history_with_overweight,1.7505463762815808e-05
Gender_plus_CAEC_minus_family_history_with_overweight,1.7490161783991765e-05
CH2O_ceil_round+Gender_map,1.7469121563127286e-05
Gender_plus_CAEC_plus_family_history_with_overweight,1.3131010569459313e-05
SCC_div_sum_of_CALC_and_family_history_with_overweight,8.752731881409568e-06
CAEC_plus_MTRANS_minus_CALC,8.748906386701894e-06
SCC_div_sum_of_CAEC_and_SMOKE,8.745080891998658e-06
MTRANS_minus_family_history_with_overweight,8.745080891998658e-06
FAVC_x_SCC,4.372540445999329e-06
CAEC_div_prod_of_family_history_with_overweight_and_FAVC,4.372540445999329e-06
FAVC_div_sum_of_CAEC_and_family_history_with_overweight,4.372540445998219e-06
FCVC_round,4.3725404459948895e-06
FAVC_div_sum_of_CAEC_and_SMOKE,4.3706276986477104e-06
Height_2dec_plus_FAVC_minus_MTRANS,4.366802203944488e-06
CALC_plus_CAEC_minus_MTRANS,4.357238467171952e-06
FCVC_round+CALC_map,2.2952968228287172e-08
TUE_floor_round+FCVC_round,3.825494705457207e-09
SCC_div_sum_of_Gender_and_CAEC,5.551115123125783e-18
Height_2dec_gt_Gender,0.0
CALC_x_CAEC,0.0
CAEC_div_sum_of_CALC_and_family_history_with_overweight,0.0
Weight_2dec_gt_FAVC,0.0
CAEC,0.0
CAEC_plus_MTRANS_minus_family_history_with_overweight,0.0
CALC_x_family_history_with_overweight,0.0
Weight_2dec_gt_Height_2dec,0.0
CAEC_minus_FAVC,0.0
CALC_minus_FAVC,0.0
CALC_x_FAVC,0.0
CAEC_div_sum_of_family_history_with_overweight_and_FAVC,0.0
Gender_plus_SCC_minus_FAVC,0.0
Weight_2dec_gt_CAEC,0.0
Weight_2dec_gt_SMOKE,0.0
Weight_2dec_gt_CALC,0.0
CAEC_x_family_history_with_overweight,0.0
MTRANS_minus_FAVC,0.0
CALC,0.0
Walking,0.0
SCC_map,0.0
SMOKE_minus_SCC,0.0
Walking+SCC_map,0.0
CAEC_minus_family_history_with_overweight,0.0
FAVC_map,0.0
Walking+FAVC_map,0.0
FAVC_minus_SCC,0.0
Height_2dec_gt_FAVC,0.0
FAVC_div_sum_of_family_history_with_overweight_and_SMOKE,0.0
CAEC_gt_family_history_with_overweight,0.0
CAEC_div_family_history_with_overweight,0.0
CAEC_plus_FAVC_minus_family_history_with_overweight,0.0
Bike+Motorbike,0.0
family_history_with_overweight_map,0.0
Public_Transportation+CALC_map,-4.439130269970337e-18
CALC_plus_family_history_with_overweight_minus_CAEC,-5.5545032549148e-18
CALC_plus_family_history_with_overweight_minus_FAVC,-9.563736763640308e-09
Std_of_Gender_MTRANS_SMOKE,-2.1040220865581198e-08
TUE_round+Public_Transportation,-4.357238467185277e-06
CALC_plus_SCC_minus_FAVC,-4.372540445994889e-06
CALC_minus_CAEC,-4.372540445998219e-06
SCC_div_sum_of_MTRANS_and_family_history_with_overweight,-4.372540445999329e-06
CALC_plus_MTRANS_plus_FAVC,-4.378278688061949e-06
CALC_plus_SMOKE_minus_SCC,-8.733604407881192e-06
NCP_ceil_round+CH2O_round,-8.741255397295416e-06
SCC_div_sum_of_CAEC_and_FAVC,-8.74316814464371e-06
family_history_with_overweight_div_prod_of_CAEC_and_MTRANS,-8.745080891998656e-06
CH2O_round+Automobile,-1.3113795843305853e-05
SCC_div_sum_of_CALC_and_CAEC,-1.3117621337987995e-05
CAEC_div_sum_of_Gender_and_family_history_with_overweight,-1.3117621337997986e-05
CALC_x_MTRANS,-1.3117621337997986e-05
FCVC_ceil_round+family_history_with_overweight_map,-1.3132923316802039e-05
Height_2dec_plus_MTRANS_plus_family_history_with_overweight,-1.3148225295624996e-05
TUE_floor_round+Public_Transportation,-1.74844235419358e-05
Gender_x_CAEC,-1.7490161783992877e-05
SCC_div_sum_of_family_history_with_overweight_and_FAVC,-1.7490161783996204e-05
SCC_div_sum_of_CAEC_and_family_history_with_overweight,-2.1862702229988875e-05
MTRANS_plus_SCC_minus_FAVC,-2.1862702229992205e-05
family_history_with_overweight_map+CAEC_map,-2.186461497735159e-05
Weight_2dec_div_prod_of_CALC_and_CAEC,-2.61740347607364e-05
FAF_floor_round+Gender_map,-2.6189336739553806e-05
MTRANS_x_SCC,-2.6235242675995973e-05
TUE_round+CALC_map,-3.0596306637877826e-05
Gender_minus_CALC,-3.060587037464479e-05
Gender_minus_family_history_with_overweight,-3.0607783121989755e-05
SCC_div_sum_of_CAEC_and_MTRANS,-3.060778312199419e-05
Walking+SMOKE_map,-3.0607783121995305e-05
Std_family_history_with_overweight_SCC,-3.0607783121995305e-05
TUE_round+Automobile,-3.061925960610391e-05
FAVC_div_sum_of_CAEC_and_MTRANS,-3.0621172353456624e-05
CAEC_x_FAVC,-3.0621172353456624e-05
MTRANS_plus_FAVC_minus_SCC,-3.062117235345885e-05
CAEC_minus_MTRANS,-3.498032356798575e-05
MTRANS_div_sum_of_Gender_and_FAVC,-3.498032356799352e-05
Gender_minus_MTRANS,-3.498032356799462e-05
family_history_with_overweight_plus_SMOKE_minus_FAVC,-3.4989887304752717e-05
TUE_round+CAEC_map,-3.9345213024578605e-05
CAEC_plus_MTRANS_plus_family_history_with_overweight,-3.9352864013993955e-05
Automobile+FAVC_map,-3.935286401399396e-05
Gender_x_SCC,-4.3725404459995503e-05
Height_2dec_x_Gender_x_FAVC,-4.372731720735268e-05
Gender_plus_FAVC_minus_CALC,-4.8099857653337565e-05
FCVC_round+Gender_map,-4.8107508642744045e-05
CH2O_round,-4.8115159632153846e-05
Height_2dec_plus_Gender_minus_family_history_with_overweight,-5.243031765759575e-05
TUE_ceil_round+CAEC_map,-5.2468572604645855e-05
MTRANS_x_family_history_with_overweight,-5.2470485351991945e-05
CAEC_plus_family_history_with_overweight_minus_MTRANS,-5.2489612825503686e-05
Height_2dec_plus_Gender_plus_FAVC,-5.6833462061234295e-05
FAVC_div_sum_of_SMOKE_and_SCC,-5.686597876621069e-05
TUE_ceil_round+FCVC_round,-6.117731129695714e-05
MTRANS_minus_SCC,-6.121556624398394e-05
Automobile,-6.123278097015516e-05
Height_2dec_minus_MTRANS,-6.554411350090164e-05
NCP_floor_round+Automobile,-6.555176449030365e-05
TUE_floor_round+family_history_with_overweight_map,-6.558236844793507e-05
CAEC_map+FAVC_map,-6.558810668998218e-05
TUE_ceil_round+family_history_with_overweight_map,-6.559958317410632e-05
Height_2dec_plus_Gender_plus_family_history_with_overweight,-6.996447263069474e-05
NCP_floor_round+Public_Transportation,-6.996638537803967e-05
Std_of_Height_2dec_CAEC_FAVC,-6.99682981253902e-05
FCVC_round+CAEC_map,-7.434083857139172e-05
CH2O_round+Public_Transportation,-7.434657681345325e-05
FAF_ceil_round+FCVC_ceil_round,-7.44269122022267e-05
FAVC_div_sum_of_Gender_and_CAEC,-7.870190253328357e-05
CAEC_x_MTRANS,-7.870572802799124e-05
Height_2dec_plus_Gender_plus_MTRANS,-7.872294275414805e-05
NCP_ceil_round+FAVC_map,-7.87286809962129e-05
family_history_with_overweight_plus_FAVC_minus_SMOKE,-8.309548320015181e-05
FCVC_ceil_round+Automobile,-8.31126979263197e-05
Gender_x_CALC,-8.743933243587576e-05
Motorbike,-8.745080891998658e-05
FAF_floor_round+FCVC_round,-9.616337310700557e-05
Height_2dec_x_Gender_x_MTRANS,-9.619397706463027e-05
CALC_minus_MTRANS,-9.619588981197414e-05
CH2O_round+CALC_map,-9.61997153066818e-05
FAF_ceil_round+Gender_map,-0.00010053017531095002
NCP_ceil_round+Automobile,-0.00010057608124738326
Automobile+CALC_map,-0.00010930968565526
TUE_ceil_round+CH2O_floor_round,-0.00011369370258537569
Height_2dec_plus_family_history_with_overweight_minus_CAEC,-0.00011369752808008226
Height_2dec_plus_MTRANS_minus_CAEC,-0.00012240435402505076
Height_2dec_plus_Gender,-0.0001224139177618089
FCVC_round+CH2O_round,-0.00012677115622898745
CH2O_round+CAEC_map,-0.00012680176018661448
FCVC_floor_round+CAEC_map,-0.00013122403206376808
Height_2dec_plus_Gender_minus_MTRANS,-0.00014426323076033757
CALC_plus_CAEC_minus_FAVC,-0.00014429383471796677
CALC_map+CAEC_map,-0.00014429766021267662
FCVC_floor_round+Automobile,-0.00014430339845472928
FCVC_round+Automobile,-0.00014432061318089498
CAEC_div_sum_of_Height_2dec_and_family_history_with_overweight,-0.00014867402615338366
MTRANS_plus_family_history_with_overweight_minus_CAEC,-0.00014871419384776763
CALC_plus_FAVC_minus_Gender,-0.00015303891560996207
Height_2dec_plus_CALC_plus_CAEC,-0.00016176869452315222
Height_2dec_x_Gender_x_CAEC,-0.00016612402024298478
Height_2dec_plus_family_history_with_overweight_minus_CALC,-0.0001662177448632196
CH2O_floor_round+Public_Transportation,-0.00017054820486747668
CH2O_floor_round+TUE_round,-0.0001836428732372497
NCP_ceil_round+family_history_with_overweight_map,-0.00018801923917795784
CH2O_ceil_round+CAEC_map,-0.00019678536029083872
Automobile+CAEC_map,-0.00019680066226964387
Height_2dec_plus_MTRANS_minus_family_history_with_overweight,-0.00020551513920401553
FCVC_floor_round+CALC_map,-0.0002098915051447059
Std_of_Height_2dec_CAEC_family_history_with_overweight,-0.00021431377702186503
MTRANS_div_sum_of_Height_2dec_and_family_history_with_overweight,-0.00021860406933172814
CH2O_floor_round+NCP_ceil_round,-0.00022741609638104234
FAF_floor_round+family_history_with_overweight_map,-0.00024487374146006327
CALC_plus_MTRANS_minus_FAVC,-0.0002754681353506061
Height_2dec_plus_CALC_plus_family_history_with_overweight,-0.0002842361692108053
NCP_ceil_round+Public_Transportation,-0.0002973384885699892
Height_2dec_x_MTRANS,-0.00030172250550010383
FAVC_div_prod_of_Height_2dec_and_Gender,-0.0003192356202523205
CH2O_floor_round+FCVC_floor_round,-0.00033670856731015444
Height_2dec_plus_CALC_minus_family_history_with_overweight,-0.00035417386337857843
Height_2dec_plus_MTRANS_minus_FAVC,-0.000384827552437017
FAF_floor_round+CALC_map,-0.00041541429533813125
MTRANS_plus_FAVC_minus_Height_2dec,-0.0004197983122682514
Height_2dec_plus_MTRANS_minus_SCC,-0.000424132597767214
Height_2dec_plus_MTRANS_minus_CALC,-0.0004766375125715294
random_control_feature,-0.0005640424155550727
