Feature,Importance
Weight_2dec,0.42269853839323873
FCVC_floor_round+Public_Transportation,0.07022653623259927
Age_ceil_round+Age_round,0.025838391593704917
FCVC_floor_round+family_history_with_overweight_map,0.014910391612067295
Weight_2dec_div_family_history_with_overweight,0.012549564065751074
Weight_2dec_div_SCC,0.008286184111113783
Weight_2dec_div_FAVC,0.007647747300061475
Gender_plus_SCC_minus_Height_2dec,0.006379796644352555
Weight_2dec_div_CALC,0.004595752323701119
Weight_2dec_div_prod_of_CAEC_and_family_history_with_overweight,0.004333397984193822
Height_2dec_minus_family_history_with_overweight,0.0031877254411847356
Weight_2dec_div_prod_of_CALC_and_FAVC,0.0030390590660207676
Height_2dec_minus_FAVC,0.002623533831336241
family_history_with_overweight_div_prod_of_Weight_2dec_and_CAEC,0.0025317181329596516
TUE_ceil_round+CH2O_ceil_round,0.0023392383669575156
Weight_2dec_div_prod_of_CAEC_and_FAVC,0.0023000863414154517
CH2O_ceil_round+Automobile,0.0016615538929955608
Weight_2dec_div_prod_of_CALC_and_SCC,0.0015785789128785678
CH2O_ceil_round+NCP_ceil_round,0.001552267160308499
Height_2dec_plus_CAEC_minus_FAVC,0.001512983155199168
Height_2dec_plus_FAVC_minus_SCC,0.0015042170340863025
TUE_ceil_round+NCP_ceil_round,0.0014342602124450177
NCP_floor_round,0.0014254673128692341
Weight_2dec_div_sum_of_CAEC_and_family_history_with_overweight,0.0013380700608750953
Height_2dec,0.001316232224360676
Height_2dec_plus_FAVC_minus_CALC,0.001180631826356193
family_history_with_overweight_div_prod_of_Height_2dec_and_Gender,0.001132509015734646
Std_Gender_MTRANS,0.0011324956265031782
FCVC_ceil_round+Gender_map,0.0008701221595223664
Height_2dec_minus_CAEC,0.0008132485297667425
Height_2dec_minus_CALC,0.0008089811904250932
CAEC_div_prod_of_Weight_2dec_and_family_history_with_overweight,0.0007958807838132608
Weight_2dec_div_CAEC,0.0007608832455191016
CH2O_floor_round+FAF_floor_round,0.0007214902138107172
FAF_ceil_round+NCP_ceil_round,0.0006383583884108912
TUE_floor_round+CH2O_floor_round,0.000616505249917657
CALC_plus_family_history_with_overweight_minus_Height_2dec,0.0006034354472634518
FAF_ceil_round+CH2O_round,0.0005815517048125807
NCP_ceil_round+FCVC_floor_round,0.0005771849026086406
TUE_floor_round+CAEC_map,0.0005684206942431303
NCP_floor_round+CAEC_map,0.00048536920423206565
Gender_x_FAVC,0.0004635466696964508
TUE_floor_round+CH2O_ceil_round,0.0004372769975681278
CH2O_floor_round+CAEC_map,0.00042417850370365603
Height_2dec_x_family_history_with_overweight,0.00041099393620834144
TUE_floor_round+FCVC_floor_round,0.0003803842403389946
NCP_floor_round+Gender_map,0.00036735843087388315
TUE_floor_round,0.00036733547790566035
CAEC_plus_family_history_with_overweight_minus_Height_2dec,0.00031928343893610877
NCP_ceil_round+CALC_map,0.0003192088417894001
TUE_round+Gender_map,0.00031045993540269374
TUE_ceil_round,0.0002842514711896238
CALC_plus_FAVC_minus_MTRANS,0.0002798827562383288
CH2O_ceil_round,0.00027977564238663267
TUE_floor_round+FAF_floor_round,0.00027548343732940346
CH2O_floor_round+family_history_with_overweight_map,0.00027546813535058833
CALC_plus_FAVC_minus_Height_2dec,0.0002666981887430219
